lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-109.8,28.41,58,101,-97.10799999999999,38.198,0.057999999999999996,409,-100.8,36.61,9.38,-18.44,1.48,174.27,0.19,71.35,902,101,18.18,18.18,8.9,-2.97,2.97,-1.47,0.15,-7.95,-20.89,7.43,-2.83,50.45,0.14,22.73,120.7,2.3,NA_DEPOSIT
-110.45,31.12,60,101,-96.86,39.379,0.068,407,-100.62,36.88,9.38,5.58,4.22,-163.53,0.19,47.2,902,101,18.37,18.37,9.34,0.91,0.91,-4.05,-1.2,-5.3,-3.14,5.29,-0.29,51.37,0.14,25.9,121.87,2.25,NA_DEPOSIT
-118.62,49.01,58,101,-96.39399999999999,38.926,0.073,408,-100.92,36.77,9.39,5.56,1.47,-161.71,0.19,47.29,902,101,18.37,18.37,9.35,0.91,0.91,-1.4,-0.46,-7.96,3.12,7.95,0.43,50.45,0.14,22.73,120.7,2.3,NA_DEPOSIT
-110.32,30.95,59,101,-96.68299999999999,39.663000000000004,0.075,407,-100.77,36.83,9.39,5.57,1.48,-161.76,0.19,47.24,902,101,18.37,18.37,9.34,0.91,0.91,-1.4,-0.46,-7.95,3.14,7.94,0.44,51.25,0.14,24.17,120.82,2.28,NA_DEPOSIT
-110.07,29.9,57,104,-96.102,34.467,0.051,431,-99.02,32.89,9.48,-2.36,1.58,-170.16,0.2,57.0,902,101,14.18,14.18,9.48,-0.39,0.39,-1.55,-0.27,-7.95,-4.86,7.92,-0.67,42.51,0.14,3.8,109.97,2.38,NA_DEPOSIT
-122.6,51.13,57,104,-96.249,34.496,0.049,430,-99.15,33.06,9.49,-2.36,1.57,-170.13,0.2,56.93,902,101,14.38,14.38,9.49,-0.39,0.39,-1.55,-0.27,-7.97,-4.85,7.94,-0.67,42.51,0.14,3.8,109.97,2.38,NA_DEPOSIT
-110.32,30.95,56,16105,-130.312,70.67399999999999,0.032,192,-132.79,69.08,9.57,-63.68,0.31,132.88,0.17,62.99,918,101,0.09,58.12,4.24,-8.58,8.58,-0.21,0.23,-9.27,-64.33,4.02,-8.36,46.48,0.06,23.67,115.35,2.36,NA_DEPOSIT
-109.5,30.3,57,101,-96.39299999999999,36.0,0.057,420,-100.07,34.75,9.58,-11.75,1.52,-179.6,0.2,65.9,902,101,16.24,16.24,9.38,-1.95,1.95,-1.52,-0.01,-8.09,-14.12,7.85,-1.97,50.93,0.15,20.01,120.61,2.32,NA_DEPOSIT
-107.35,25.67,57,101,-95.994,36.556,0.065,418,-100.27,35.12,9.59,-11.73,1.51,-179.6,0.2,65.79,902,101,16.64,16.64,9.39,-1.95,1.95,-1.51,-0.01,-8.12,-14.07,7.88,-1.97,50.93,0.15,20.01,119.84,2.32,NA_DEPOSIT
-141.32,63.52,57,101,-96.941,37.971,0.061,410,-100.95,36.56,9.65,-17.64,1.47,174.32,0.19,71.4,902,101,18.18,18.18,9.2,-2.93,2.93,-1.47,0.15,-8.22,-19.87,7.73,-2.79,50.33,0.14,19.92,120.55,2.33,NA_DEPOSIT
-109.75,30.48,58,16105,-131.891,70.578,0.026000000000000002,190,-132.75,69.14,9.69,-66.47,0.32,133.19,0.17,62.65,918,101,0.09,58.12,3.87,-8.89,8.89,-0.22,0.23,-9.39,-67.22,3.64,-8.66,42.9,0.05,24.35,110.34,2.36,NA_DEPOSIT
-109.66,28.39,58,16101,-112.50399999999999,61.785,0.068,258,-118.61,59.33,9.73,-39.1,0.7,-179.85,0.19,48.42,918,101,11.79,46.42,7.55,-6.14,6.14,-0.7,0.0,-9.21,-41.94,6.85,-6.15,14.99,0.06,4.81,65.6,1.72,NA_DEPOSIT
-123.56,49.47,47,101,-98.712,34.111999999999995,0.057,374,-102.29,32.84,9.8,-16.63,2.45,-163.98,0.2,65.42,903,101,16.54,16.54,9.39,-2.81,2.81,-2.36,-0.68,-7.84,-26.28,7.03,-3.47,24.41,0.11,12.48,78.44,1.91,NA_DEPOSIT
-111.02,31.97,57,16101,-107.95700000000001,57.89,0.053,324,-112.26,55.95,9.82,-0.29,0.85,-173.3,0.16,46.07,902,101,16.65,41.56,9.82,-0.05,0.05,-0.85,-0.1,-8.98,-1.05,8.97,-0.16,0.91,0.02,4.83,45.73,1.42,NA_DEPOSIT
-110.76,31.83,57,16107,-103.617,55.575,0.084,340,-112.17,55.8,9.83,-44.89,0.86,142.21,0.19,90.75,902,101,16.82,41.39,6.96,-6.93,6.93,-0.68,0.53,-8.97,-45.66,6.27,-6.42,0.91,0.01,6.25,46.02,1.42,NA_DEPOSIT
-155.28,59.9,100,178,-85.65700000000001,44.173,0.064,326,-90.69,43.57,9.85,-14.04,5.0,-135.52,0.19,78.86,902,101,27.42,30.79,9.56,-2.39,2.39,-3.57,-3.5,-8.38,-44.51,5.98,-5.88,76.66,0.18,29.97,145.46,2.39,NA_DEPOSIT
-110.03,32.09,56,101,-95.899,36.302,0.067,422,-100.22,34.7,10.24,-7.68,1.52,-179.55,0.2,65.94,902,101,16.24,16.24,10.15,-1.37,1.37,-1.52,-0.01,-8.74,-9.19,8.63,-1.4,49.62,0.16,17.1,119.64,2.34,NA_DEPOSIT
-109.63,30.34,56,101,-96.116,36.286,0.065,421,-100.32,34.88,10.25,-7.68,1.52,-179.55,0.2,65.89,902,101,16.44,16.44,10.16,-1.37,1.37,-1.52,-0.01,-8.75,-9.18,8.64,-1.4,49.62,0.16,17.1,119.64,2.34,NA_DEPOSIT
-110.66,29.93,56,101,-97.35799999999999,38.071999999999996,0.059000000000000004,412,-101.1,36.5,10.31,-13.63,1.47,174.36,0.19,71.44,902,101,18.18,18.18,10.02,-2.43,2.43,-1.46,0.14,-8.85,-15.04,8.55,-2.3,50.12,0.15,16.74,119.41,2.34,NA_DEPOSIT
-119.27,38.96,171,16110,-62.882,46.876000000000005,0.037000000000000005,379,-65.93,46.66,10.35,-2.52,1.94,-130.9,0.19,82.69,902,16111,5.11,5.11,10.34,-0.46,0.46,-1.27,-1.47,-9.27,-11.97,9.07,-1.92,88.11,0.2,12.47,140.93,2.59,NA_DEPOSIT
-127.48,50.6,172,16110,-63.035,46.992,0.033,374,-65.77,46.73,10.35,-2.5,1.94,-130.82,0.19,82.78,902,16111,5.3,5.3,10.34,-0.45,0.45,-1.27,-1.47,-9.27,-11.95,9.07,-1.92,85.68,0.2,12.03,138.73,2.57,NA_DEPOSIT
