lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-70.1,-41.0,3,283,-69.572,-40.842,0.065,761,-74.47,-40.35,8.88,-17.33,1.62,152.0,0.15,97.07,911,201,11.29,11.29,8.48,-2.65,2.65,-1.43,0.76,-7.3,-14.91,7.05,-1.88,20.51,0.07,91.45,74.85,1.61,SA_VOLCANIC
-70.0,-41.4,3,283,-69.473,-41.242,0.067,756,-74.52,-40.67,8.88,-18.21,1.62,151.01,0.18,97.97,911,201,10.97,10.97,8.43,-2.77,2.77,-1.41,0.78,-7.29,-15.77,7.02,-1.98,20.51,0.08,90.53,71.41,1.56,SA_VOLCANIC
-72.24,-40.51,0,283,-72.24,-40.51,0.037000000000000005,781,-75.01,-40.51,8.89,-17.82,1.64,151.63,0.15,97.06,911,201,11.29,11.29,8.46,-2.72,2.72,-1.44,0.78,-7.29,-15.4,7.03,-1.94,20.52,0.07,99.9,73.42,1.49,SA_VOLCANIC
-72.0,-40.35,2,283,-71.64399999999999,-40.244,0.04,764,-74.64,-40.24,8.89,-8.81,1.63,160.61,0.18,88.38,911,201,11.45,11.45,8.79,-1.36,1.36,-1.54,0.54,-7.29,-6.4,7.25,-0.81,21.66,0.08,95.91,75.05,1.6,SA_VOLCANIC
-72.12,-40.59,2,283,-71.764,-40.484,0.038,761,-74.65,-40.41,8.89,-17.49,1.63,151.88,0.15,97.07,911,201,11.29,11.29,8.48,-2.67,2.67,-1.44,0.77,-7.29,-15.07,7.04,-1.9,21.66,0.07,95.91,75.05,1.6,SA_VOLCANIC
-68.8,-40.3,3,283,-68.275,-40.143,0.08199999999999999,764,-74.46,-40.19,8.89,-8.64,1.63,160.73,0.18,88.39,911,201,11.45,11.45,8.79,-1.34,1.34,-1.54,0.54,-7.3,-6.23,7.25,-0.79,20.51,0.08,91.45,74.85,1.61,SA_VOLCANIC
-72.0,-39.93,0,283,-72.0,-39.93,0.04,780,-75.01,-39.99,8.91,-9.13,1.65,160.46,0.18,88.38,911,201,11.81,11.81,8.79,-1.41,1.41,-1.55,0.55,-7.29,-6.72,7.24,-0.85,22.88,0.09,103.31,78.79,1.63,SA_VOLCANIC
-68.86,-19.15,2,201,-68.5,-19.045,0.045,873,-71.01,-20.02,8.91,8.04,1.97,-176.87,0.18,69.74,911,201,31.62,32.12,8.83,1.25,1.25,-1.97,-0.11,-6.95,9.49,6.86,1.15,58.25,0.14,31.29,129.74,2.17,SA_VOLCANIC
-68.5,-39.8,3,283,-67.975,-39.643,0.087,771,-74.29,-38.77,8.92,-22.54,1.66,147.29,0.14,102.23,911,201,12.88,12.88,8.24,-3.42,3.42,-1.39,0.9,-7.3,-20.18,6.85,-2.52,23.29,0.06,93.9,78.99,1.63,SA_VOLCANIC
-71.81,-39.27,0,283,-71.81,-39.27,0.040999999999999995,792,-74.79,-38.78,8.93,-24.46,1.67,145.53,0.17,103.64,911,201,13.04,13.04,8.13,-3.7,3.7,-1.38,0.95,-7.29,-22.12,6.76,-2.75,26.92,0.08,107.08,85.84,1.73,SA_VOLCANIC
-71.98,-39.31,0,283,-71.98,-39.31,0.039,791,-74.83,-38.93,8.93,-23.02,1.67,146.92,0.14,102.22,911,201,12.88,12.88,8.22,-3.49,3.49,-1.4,0.91,-7.29,-20.67,6.82,-2.57,26.92,0.07,107.08,85.84,1.73,SA_VOLCANIC
-68.55,-20.73,2,201,-68.191,-20.625,0.044000000000000004,883,-70.89,-20.87,8.93,-10.72,1.96,164.31,0.17,88.47,911,201,31.26,31.26,8.78,-1.66,1.66,-1.89,0.53,-6.98,-9.26,6.89,-1.12,56.86,0.13,31.27,128.21,2.17,SA_VOLCANIC
-68.56,-20.73,2,201,-68.20100000000001,-20.625,0.044000000000000004,882,-70.9,-20.7,8.93,-10.73,1.96,164.32,0.17,88.47,911,201,31.43,31.43,8.78,-1.66,1.66,-1.89,0.53,-6.98,-9.27,6.89,-1.12,56.86,0.13,31.27,128.21,2.17,SA_VOLCANIC
-71.95,-39.42,2,283,-71.594,-39.314,0.04,771,-74.47,-38.82,8.93,-22.7,1.66,147.16,0.14,102.23,911,201,12.88,12.88,8.24,-3.44,3.44,-1.4,0.9,-7.3,-20.34,6.84,-2.54,24.23,0.06,99.84,80.99,1.65,SA_VOLCANIC
-71.62,-38.75,0,283,-71.62,-38.75,0.042,794,-74.69,-38.45,8.94,-24.44,1.68,145.68,0.17,103.58,911,201,13.37,13.37,8.14,-3.7,3.7,-1.39,0.95,-7.29,-22.12,6.76,-2.75,30.48,0.09,104.31,91.3,1.73,SA_VOLCANIC
