conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
7.14,0.85,0.06,100.17,1.66
7.55,3.98,0.08,99.97,1.66
7.43,3.0,0.08,99.97,1.66
7.29,2.01,0.08,100.17,1.65
7.14,0.85,0.06,100.17,1.66
7.29,2.01,0.08,100.17,1.65
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
7.87,6.51,0.08,104.14,1.66
7.73,5.35,0.08,104.14,1.67
7.58,4.18,0.08,99.97,1.66
4.37,5.16,0.02,51.1,1.05
4.37,4.62,0.02,51.1,0.62
4.37,4.8,0.02,51.1,0.62
4.36,3.35,0.01,23.94,0.73
4.37,3.53,0.01,23.94,0.73
4.37,4.25,0.02,51.1,0.62
4.36,3.17,0.01,23.94,0.73
4.36,3.35,0.01,23.94,0.73
4.35,1.25,0.02,33.11,1.6
4.35,1.25,0.02,33.11,1.6
4.36,2.05,0.02,26.44,1.6
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
4.35,0.86,0.02,30.84,1.66
4.36,2.25,0.02,26.44,1.6
4.35,1.25,0.02,33.11,1.6
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,0.97,0.01,7.81,0.73
4.38,1.32,0.01,10.07,0.73
4.38,0.27,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,2.18,0.02,10.07,0.94
4.38,2.55,0.02,23.94,0.94
4.38,0.97,0.01,7.81,0.73
4.38,0.8,0.01,7.81,0.73
4.37,0.09,0.01,7.81,0.7
4.38,0.45,0.01,7.81,0.34
4.38,5.27,0.02,45.62,1.09
4.38,5.27,0.02,45.62,1.09
4.38,3.49,0.02,23.94,1.11
4.37,4.62,0.02,51.1,0.62
4.37,4.99,0.02,51.1,1.05
4.38,5.68,0.02,45.4,1.05
4.38,5.27,0.02,45.62,1.09
4.38,4.38,0.02,43.73,1.11
4.38,3.84,0.02,43.73,1.11
4.38,2.75,0.02,23.94,0.94
4.38,3.49,0.02,23.94,1.11
4.38,2.36,0.02,10.07,0.94
4.38,1.5,0.01,10.07,0.73
4.38,2.01,0.02,10.07,0.94
4.38,0.62,0.01,7.81,0.73
4.38,1.32,0.01,10.07,0.73
4.38,1.67,0.01,10.07,0.73
4.38,2.94,0.02,23.94,1.11
4.38,3.13,0.02,23.94,1.11
4.38,2.01,0.02,10.07,0.94
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,0.62,0.01,7.81,0.73
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,1.84,0.02,10.07,0.94
4.38,3.66,0.02,23.94,1.11
4.38,2.55,0.02,23.94,0.94
4.38,4.38,0.02,43.73,1.11
4.38,4.02,0.02,43.73,1.11
4.38,4.38,0.02,43.73,1.11
4.38,4.02,0.02,43.73,1.11
4.38,4.02,0.02,43.73,1.11
4.38,6.03,0.02,45.62,1.09
4.37,5.16,0.02,51.1,1.05
4.37,5.51,0.02,45.4,1.05
4.37,5.34,0.02,51.1,1.05
4.38,5.86,0.02,45.4,1.05
4.38,5.68,0.02,45.4,1.05
4.38,5.44,0.02,45.62,1.09
4.38,6.03,0.02,45.62,1.09
4.38,5.44,0.02,45.62,1.09
4.38,3.31,0.02,23.94,1.11
4.38,3.84,0.02,43.73,1.11
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
4.35,1.06,0.02,33.11,1.6
-4.75,0.29,0.0,30.84,1.66
4.36,2.81,0.01,26.44,0.81
4.36,2.05,0.02,26.44,1.6
-4.73,0.48,0.0,30.84,1.66
-4.76,0.1,0.0,30.84,1.64
4.35,0.86,0.02,30.84,1.66
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
4.37,4.06,0.02,51.1,0.62
4.37,3.7,0.01,23.94,0.73
4.37,4.8,0.02,51.1,0.62
4.36,2.64,0.01,26.44,0.81
4.38,4.81,0.01,24.27,0.74
5.89,11.41,0.09,42.53,2.21
4.74,0.1,0.06,89.12,1.89
-0.89,0.09,0.0,55.46,1.22
7.57,5.43,0.08,99.19,1.67
4.39,1.67,0.01,11.58,1.05
6.23,15.28,0.1,34.51,2.17
4.74,0.1,0.06,89.12,1.89
5.03,2.77,0.07,76.63,2.02
4.74,0.1,0.06,89.12,1.89
5.21,4.49,0.07,62.92,2.1
5.74,0.08,0.03,75.48,1.44
6.99,1.09,0.06,95.64,1.66
4.38,6.09,0.02,53.1,1.15
4.36,1.7,0.01,77.31,1.61
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,4.56,0.02,41.55,1.23
4.39,4.38,0.02,41.55,1.23
4.39,0.09,0.01,4.13,0.72
4.39,4.38,0.02,41.55,1.23
-4.76,0.78,0.0,98.8,1.65
5.65,8.9,0.07,39.78,2.22
5.89,11.41,0.09,42.53,2.21
6.24,15.47,0.1,34.51,2.17
6.09,13.71,0.09,37.76,2.19
6.58,15.02,0.08,35.41,2.19
6.38,17.23,0.09,34.74,2.17
6.71,12.73,0.08,37.98,2.19
6.67,13.49,0.08,36.11,2.19
6.72,12.54,0.08,38.21,2.2
4.74,0.1,0.06,89.12,1.89
4.76,0.29,0.06,89.12,1.94
4.74,0.1,0.06,89.12,1.89
4.89,1.43,0.06,89.12,1.94
4.83,0.86,0.06,89.12,1.94
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
5.37,6.03,0.07,62.92,2.12
5.46,6.93,0.07,62.19,2.16
5.29,5.26,0.07,62.92,2.12
4.99,2.39,0.07,76.63,2.02
5.13,3.73,0.07,71.08,2.06
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.87,0.47,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
4.83,3.62,0.02,19.75,0.89
-0.89,0.09,0.0,55.46,1.22
