index,lon,lat,age
242,-75.85,-35.2,2
243,-68.273049,-35.204269,2
244,-68.260773,-35.208528,2
245,-68.919407,-35.239884,2
246,-70.57,-35.24,2
247,-68.8,-35.25,2
248,-68.253408,-35.250135,2
249,-68.239965,-35.288295,2
250,-69.011904,-35.294041,2
251,-68.430098,-35.319993,2
252,-68.374251,-35.328507,2
253,-68.324167,-35.350333,2
254,-68.187008,-35.355993,2
255,-68.717001,-35.365372,2
256,-68.897703,-35.397684,2
257,-68.946168,-35.423661,2
258,-68.068029,-35.437237,2
259,-69.85008,-35.4635,2
260,-69.856212,-35.464918,2
261,-68.777777,-35.465932,2
262,-67.967429,-35.477316,2
263,-69.451265,-35.497736,2
264,-68.76137,-35.514089,2
265,-75.85,-35.58,2
266,-70.85,-35.58,2
267,-68.63973,-35.59946,2
268,-70.67,-35.6,2
269,-69.510409,-35.608555,2
270,-69.205328,-35.61088,2
271,-69.20192,-35.61292,2
272,-69.08389,-35.63997,2
273,-69.541283,-35.655783,2
274,-69.525022,-35.663015,2
275,-69.52397,-35.66356,2
276,-69.49763,-35.668585,2
277,-68.694174,-35.674456,2
278,-69.463136,-35.70942,2
279,-69.46106,-35.71044,2
280,-69.4584,-35.711057,2
281,-69.45694,-35.71181,2
282,-69.453761,-35.721881,2
283,-69.444808,-35.726558,2
284,-69.408868,-35.752051,2
285,-69.174522,-35.75828,2
286,-69.47816,-35.75967,2
287,-69.47373,-35.7609,2
288,-69.317596,-35.766811,2
289,-69.48225,-35.7687,2
290,-69.46592,-35.77222,2
291,-69.257765,-35.775873,2
292,-69.269747,-35.788476,2
293,-70.5,-35.795,2
294,-70.10533,-35.79714,2
295,-75.8,-35.8,2
296,-69.19545,-35.80328,2
297,-69.17734,-35.803749,2
298,-69.15128,-35.82869,2
299,-70.050185,-35.829186,2
300,-69.175114,-35.829191,2
301,-69.1455,-35.83594,2
302,-69.14394,-35.83972,2
303,-69.145338,-35.844228,2
304,-69.162,-35.84869,2
305,-69.177423,-35.871425,2
306,-68.083653,-35.887842,2
307,-69.436928,-35.921923,2
308,-70.48,-35.93,2
309,-69.054045,-35.949851,2
310,-70.593,-35.952,2
311,-70.557,-35.962,2
312,-70.569,-35.965,2
313,-70.34622,-35.96706,2
314,-70.556,-35.968,2
315,-69.0654,-35.980633,2
316,-68.97419,-35.982037,2
317,-69.064269,-35.98833,2
318,-70.5,-36,2
319,-71,-36,2
320,-69.08827,-36.004592,2
321,-69.40519,-36.025522,2
322,-69.726778,-36.0425,2
323,-69.226889,-36.074162,2
324,-69.066911,-36.076442,2
325,-69.417929,-36.096864,2
326,-68.797688,-36.101989,2
327,-68.693122,-36.14964,2
328,-68.689397,-36.151465,2
329,-68.144655,-36.196157,2
330,-69.2186,-36.1981,2
331,-71.27,-36.2,2
332,-69.2145,-36.2002,2
333,-69.39516,-36.21031,2
334,-69.497961,-36.221486,2
335,-69.33609,-36.22966,2
336,-69.31325,-36.23532,2
337,-69.31216,-36.23573,2
338,-69.38328,-36.246824,2
339,-69.40653,-36.25514,2
340,-69.3005,-36.2669,2
341,-69.308,-36.2674,2
342,-69.3114,-36.2732,2
343,-69.61708,-36.275097,2
