conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
2.85,62.86,-3.68,-73.99,0.19,0.1,1.3,2.54,1.01,-3.53,-2.53,-22.86,2.33,-0.98,74.2,0.43,146.03,0.79,False
14.72,-13.48,5.0,-139.06,0.19,17.62,14.32,-3.43,-3.77,-3.27,-12.49,-32.45,10.54,-6.7,68.87,21.64,139.81,2.58,False
10.79,-13.28,4.98,-131.76,0.19,17.81,10.5,-2.48,-3.31,-3.71,-9.47,-40.71,7.18,-6.18,87.15,32.02,151.36,2.44,False
6.13,-31.11,1.98,-164.84,0.2,13.16,5.25,-3.17,-1.91,-0.52,-4.97,-47.64,3.35,-3.67,94.81,15.19,154.8,2.71,False
7.21,-15.65,2.73,139.02,0.19,0.09,6.94,-1.94,-2.06,1.79,-4.89,-1.71,4.89,-0.15,1.82,24.93,44.5,1.02,False
9.21,-0.53,2.39,-138.93,0.19,18.93,9.21,-0.09,-1.8,-1.57,-7.57,-12.57,7.39,-1.65,21.09,10.91,75.22,1.87,False
14.06,15.2,4.99,-111.72,0.19,18.37,13.57,3.69,-1.85,-4.64,-11.75,-4.6,11.71,-0.94,82.93,24.59,149.22,2.28,False
2.51,24.19,-4.4,-68.05,0.2,2.77,2.29,1.03,1.65,-4.08,-4.98,-37.91,3.93,-3.06,92.16,17.92,153.67,2.7,False
8.38,53.13,-4.29,-74.61,0.19,1.25,5.03,6.71,1.14,-4.13,-6.67,22.86,6.15,2.59,47.37,0.05,115.65,2.59,False
-3.1,-94.99,2.54,130.14,0.19,0.09,-0.27,-3.09,-1.64,1.94,2.1,-149.38,-1.8,-1.07,4.37,31.88,266.39,1.18,False
15.94,43.32,6.32,-124.29,0.19,18.37,11.6,10.94,-3.56,-5.22,-9.87,35.19,8.07,5.69,88.86,25.57,149.39,2.5,False
9.97,26.22,5.36,-112.04,0.2,1.18,8.94,4.4,-2.01,-4.97,-6.97,-4.91,6.94,-0.6,84.97,12.05,150.25,2.67,False
11.22,1.92,4.07,-169.42,0.2,4.34,11.21,0.38,-4.0,-0.75,-7.22,-3.26,7.21,-0.41,83.96,11.08,149.71,2.67,False
9.38,12.24,1.93,-115.9,0.19,0.1,9.16,1.99,-0.84,-1.74,-8.33,1.7,8.32,0.25,83.03,6.89,149.1,2.79,False
