conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
8.76,-24.9,2.61,-171.66,0.2,34.8,7.95,-3.69,-2.58,-0.38,-6.75,-37.28,5.37,-4.09,91.85,20.22,153.54,2.56,True
4.42,-8.56,1.16,-171.83,0.2,36.75,4.37,-0.66,-1.14,-0.16,-3.34,-14.26,3.23,-0.82,69.75,27.41,140.49,2.48,True
9.51,8.61,3.01,-175.24,0.2,35.58,9.4,1.42,-3.0,-0.25,-6.5,10.15,6.4,1.15,98.3,13.48,156.23,2.6,True
9.49,8.78,3.01,-175.41,0.2,35.58,9.38,1.45,-3.0,-0.24,-6.49,10.48,6.38,1.18,98.5,11.63,156.31,2.6,True
8.27,1.33,2.92,175.25,0.19,33.29,8.26,0.19,-2.91,0.24,-5.37,4.34,5.35,0.41,107.36,18.74,159.89,2.7,True
11.79,-23.25,2.81,177.34,0.19,30.68,10.84,-4.66,-2.81,0.13,-9.22,-29.4,8.03,-4.52,78.72,7.69,146.73,2.56,True
12.88,-11.75,2.96,-164.68,0.17,31.98,12.61,-2.62,-2.86,-0.78,-10.34,-19.29,9.76,-3.42,104.31,21.46,158.63,2.61,True
11.93,-21.57,2.6,168.24,0.19,30.85,11.09,-4.38,-2.55,0.53,-9.37,-24.24,8.55,-3.85,69.51,9.3,140.22,2.43,True
0.78,6.45,1.68,149.73,0.2,34.8,0.77,0.09,-1.45,0.85,1.15,126.5,-0.68,0.92,72.81,25.37,142.86,2.47,True
10.7,-14.8,1.76,155.18,0.2,19.33,10.34,-2.73,-1.6,0.74,-8.97,-12.8,8.75,-1.99,40.29,54.34,111.18,2.13,True
10.85,-14.33,1.89,161.43,0.2,21.65,10.51,-2.69,-1.79,0.6,-8.97,-13.4,8.72,-2.08,60.21,23.61,135.09,2.12,True
9.94,9.7,3.06,-175.09,0.18,33.73,9.79,1.67,-3.05,-0.26,-6.89,11.59,6.75,1.38,100.15,13.89,156.97,2.6,True
5.22,-6.28,1.4,-171.79,0.18,34.08,5.19,-0.57,-1.39,-0.2,-3.89,-11.43,3.81,-0.77,64.36,34.81,135.86,2.43,True
11.93,-12.71,2.61,177.1,0.2,31.04,11.64,-2.63,-2.6,0.13,-9.37,-15.39,9.04,-2.49,69.51,9.3,140.22,2.43,True
9.92,9.43,3.05,-174.74,0.18,33.9,9.79,1.63,-3.04,-0.28,-6.88,11.04,6.75,1.32,98.63,12.22,156.36,2.59,True
8.78,-20.61,2.68,-171.92,0.2,34.8,8.21,-3.09,-2.65,-0.38,-6.57,-32.06,5.57,-3.49,94.83,21.54,154.81,2.58,True
8.85,9.42,2.96,-175.33,0.2,34.76,8.73,1.45,-2.95,-0.24,-5.9,11.54,5.78,1.18,101.41,17.98,157.49,2.65,True
10.39,-19.59,4.06,159.98,0.19,26.16,9.79,-3.48,-3.82,1.39,-6.33,-19.4,5.97,-2.1,38.53,24.85,108.83,2.42,True
6.91,-66.9,-3.68,-9.07,0.18,19.95,2.71,-6.35,3.64,-0.58,-9.43,-47.61,6.36,-6.96,32.3,55.06,101.81,1.96,True
10.15,25.36,3.07,-158.48,0.18,33.02,9.17,4.35,-2.85,-1.13,-7.09,26.8,6.33,3.2,97.67,12.22,155.98,2.58,True
10.45,33.59,3.09,-149.77,0.18,31.8,8.71,5.78,-2.67,-1.56,-7.36,34.78,6.05,4.2,96.7,14.14,155.58,2.57,True
9.16,-34.96,2.81,177.48,0.19,30.23,7.51,-5.25,-2.81,0.12,-6.96,-47.52,4.7,-5.13,79.59,5.82,147.28,2.56,True
4.05,-18.76,1.05,-179.82,0.19,34.9,3.84,-1.3,-1.05,-0.0,-3.08,-25.1,2.79,-1.31,69.62,24.51,140.39,2.48,True
10.7,-14.8,1.76,155.18,0.2,19.33,10.34,-2.73,-1.6,0.74,-8.97,-12.8,8.75,-1.99,40.29,54.34,111.18,2.13,True
5.19,-6.33,1.39,-171.73,0.18,34.26,5.16,-0.57,-1.37,-0.2,-3.86,-11.51,3.78,-0.77,64.36,34.81,135.86,2.43,True
1.01,11.63,1.68,150.71,0.18,34.26,0.99,0.2,-1.47,0.82,1.13,115.71,-0.49,1.02,71.45,25.03,141.78,2.46,True
9.96,9.11,3.05,-174.39,0.18,33.9,9.83,1.58,-3.03,-0.3,-6.91,10.42,6.8,1.25,96.53,11.82,155.51,2.58,True
18.62,6.32,2.35,-119.26,0.16,11.84,18.51,2.05,-1.15,-2.05,-17.35,0.05,17.35,0.01,9.21,1.48,56.53,1.81,True
10.13,25.52,3.07,-158.65,0.18,33.02,9.14,4.36,-2.86,-1.12,-7.07,27.1,6.29,3.22,99.06,12.74,156.54,2.59,True
11.83,-12.72,2.52,177.07,0.2,19.82,11.54,-2.6,-2.51,0.13,-9.36,-15.3,9.02,-2.47,60.98,22.27,132.49,2.13,True
9.52,8.44,3.01,-175.06,0.2,35.58,9.42,1.4,-3.0,-0.26,-6.52,9.82,6.42,1.11,96.85,15.89,155.64,2.6,True
4.54,78.91,-4.54,70.6,0.2,0.1,0.87,4.46,1.51,4.28,-9.06,75.52,2.27,8.77,58.78,5.28,142.52,2.46,True
9.97,-30.58,6.39,122.45,0.17,2.09,8.58,-5.07,-3.43,5.39,-5.14,3.4,5.13,0.3,71.83,10.1,140.79,2.61,True
0.67,-84.01,2.01,-162.88,0.17,2.38,0.07,-0.66,-1.92,-0.59,2.23,-145.9,-1.85,-1.25,9.59,327.26,72.7,2.44,True
9.94,-30.68,6.39,122.47,0.17,1.74,8.55,-5.07,-3.43,5.39,-5.1,3.42,5.09,0.3,71.71,10.01,140.79,2.61,True
3.56,38.16,2.63,-171.95,0.17,0.54,2.8,2.2,-2.61,-0.37,-1.84,83.98,0.19,1.83,121.69,45.1,166.97,2.29,True
4.1,20.81,2.45,-145.1,0.12,0.85,3.83,1.46,-2.01,-1.4,-1.82,1.45,1.82,0.05,126.18,39.72,169.83,2.34,True
2.26,-15.11,2.64,151.01,0.19,3.45,2.19,-0.59,-2.31,1.28,0.7,100.17,-0.12,0.69,158.91,19.54,217.14,2.45,True
11.35,-11.04,2.86,-172.28,0.12,9.15,11.14,-2.17,-2.83,-0.38,-8.69,-17.07,8.31,-2.55,52.56,22.01,123.25,2.11,True
11.32,-22.41,2.85,176.41,0.14,8.62,10.46,-4.31,-2.85,0.18,-8.66,-28.47,7.62,-4.13,52.71,22.01,123.42,2.21,True
11.01,-9.16,2.69,178.45,0.14,10.56,10.87,-1.75,-2.69,0.07,-8.35,-11.56,8.18,-1.67,37.34,41.04,102.19,2.04,True
1.51,-78.97,-2.81,-65.78,0.2,2.5,0.29,-1.48,1.15,-2.56,-4.29,-70.41,1.44,-4.05,67.96,308.79,137.82,2.57,True
5.76,-47.13,1.63,98.97,0.2,1.14,3.92,-4.22,-0.25,1.61,-4.49,-35.6,3.65,-2.62,63.92,14.6,136.92,2.58,True
10.45,-11.98,2.2,162.51,0.2,11.12,10.22,-2.17,-2.09,0.66,-8.27,-10.47,8.13,-1.5,29.54,69.32,89.82,1.95,True
10.2,-17.03,2.7,178.53,0.2,10.73,9.75,-2.99,-2.7,0.07,-7.63,-22.35,7.06,-2.9,51.15,27.18,121.49,2.07,True
10.11,-29.53,2.12,141.19,0.14,6.47,8.8,-4.98,-1.65,1.33,-8.03,-27.04,7.15,-3.65,26.61,86.72,85.01,1.96,True
11.12,-9.27,2.7,178.03,0.2,12.11,10.97,-1.79,-2.7,0.09,-8.45,-11.55,8.28,-1.69,38.68,34.93,104.25,2.12,True
5.72,-47.55,1.63,99.36,0.2,1.73,3.86,-4.22,-0.27,1.61,-4.44,-36.11,3.59,-2.62,63.92,12.25,136.92,2.57,True
5.81,-46.59,1.63,98.45,0.2,0.35,3.99,-4.22,-0.24,1.61,-4.57,-34.94,3.74,-2.62,64.66,14.6,136.43,2.59,True
11.09,-9.3,2.7,178.03,0.2,11.71,10.94,-1.79,-2.7,0.09,-8.42,-11.59,8.25,-1.69,39.29,34.49,105.17,2.12,True
5.8,-46.72,1.63,98.58,0.2,0.55,3.97,-4.22,-0.24,1.61,-4.55,-35.1,3.72,-2.62,64.66,14.6,136.43,2.59,True
10.04,-22.54,2.68,174.5,0.11,9.26,9.27,-3.85,-2.67,0.26,-7.51,-28.45,6.6,-3.58,44.28,27.45,112.41,2.1,True
5.76,-47.13,1.63,98.97,0.2,1.14,3.92,-4.22,-0.25,1.61,-4.49,-35.6,3.65,-2.62,63.92,14.6,136.92,2.58,True
