6.010,-30.110,0.090,5.200,-3.020,10.690,32.130
8.460,-4.610,15.480,8.430,-0.680,6.820,39.420
13.710,-6.780,18.000,13.610,-1.620,56.710,21.100
17.620,-68.250,0.090,6.530,-16.360,46.750,55.550
-3.090,-90.980,0.280,-0.050,-3.090,4.370,31.880
5.760,19.840,6.930,5.420,1.960,38.800,0.000
4.760,13.760,0.100,4.630,1.130,34.770,88.120
8.470,54.150,8.280,4.960,6.870,33.000,0.000
4.390,9.750,0.090,4.320,0.740,0.590,4.130
4.430,11.220,0.970,4.350,0.860,2.050,5.430
4.740,14.110,0.100,4.600,1.160,34.490,89.120
13.510,4.560,11.580,13.470,1.070,27.090,18.880
4.390,9.750,0.090,4.320,0.740,0.590,4.130
4.390,11.990,1.320,4.290,0.910,2.800,4.130
5.560,4.230,9.420,5.550,0.410,35.130,63.190
12.400,39.610,5.600,9.550,7.900,41.240,15.710
9.380,5.580,18.370,9.340,0.910,51.370,25.900
5.740,18.670,0.080,5.440,1.840,12.170,75.480
6.080,-21.310,13.320,5.660,-2.210,54.130,33.680
6.660,25.300,9.320,6.020,2.850,33.910,0.000
9.820,-0.290,16.650,9.820,-0.050,0.910,4.830
25.580,-61.890,9.370,12.050,-22.570,11.130,12.560
14.470,-10.810,15.480,14.220,-2.720,67.610,20.330
5.420,14.030,6.410,5.260,1.320,44.170,66.300
5.740,18.670,0.080,5.440,1.840,12.170,75.480
5.350,14.240,5.640,5.180,1.320,42.020,68.810
4.370,-29.030,5.160,3.820,-2.120,7.760,51.100
13.650,-17.550,10.910,13.010,-4.120,105.840,17.220
4.370,-35.510,4.800,3.560,-2.540,6.930,51.100
6.260,-20.670,15.470,5.850,-2.210,57.230,34.300
9.830,-44.890,16.820,6.960,-6.930,0.910,6.250
18.550,-19.300,14.700,17.510,-6.130,60.010,20.680
13.220,-34.010,0.790,10.960,-7.390,40.810,40.530
5.470,16.280,1.140,5.250,1.530,11.280,75.480
18.250,-68.650,0.090,6.650,-17.000,42.100,24.690
8.320,41.560,6.930,6.230,5.520,28.430,0.330
7.370,-18.350,0.600,7.000,-2.320,10.780,66.120
5.350,14.240,5.640,5.180,1.320,42.020,68.810
9.490,-2.360,14.380,9.490,-0.390,42.510,3.800
4.880,-21.920,13.360,4.530,-1.820,8.980,40.660
6.310,-20.510,16.060,5.910,-2.210,57.400,34.300
11.030,-0.990,13.980,11.030,-0.190,32.360,10.130
