total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
58.9,10.75,4.73,13.94,-4.45,False
148.55,88.05,7.08,13.84,-4.9,False
154.62,94.93,10.43,6.08,-7.94,False
56.12,8.98,4.97,13.75,-4.74,False
156.27,98.35,1.5,0.09,-4.48,False
75.79,18.03,-4.71,0.06,4.78,False
150.15,94.6,7.64,13.65,-5.61,False
155.18,96.31,7.68,6.17,-7.94,False
145.25,73.48,2.85,0.1,-2.54,False
157.93,96.98,7.79,5.15,-5.57,False
59.58,11.06,4.45,0.09,-2.04,False
146.11,78.03,15.82,16.82,-10.86,False
97.85,34.54,5.55,0.1,-3.96,False
123.5,53.88,8.87,0.67,6.91,False
155.03,95.53,8.09,11.64,-7.92,False
46.78,3.63,9.27,9.0,-9.79,False
133.12,61.52,15.2,7.41,-10.89,False
98.4,34.89,5.85,2.18,-4.07,False
142.2,82.32,10.31,8.19,-9.25,False
98.23,34.81,6.19,5.14,-4.25,False
151.94,72.51,15.63,6.15,-13.06,False
153.39,79.76,15.65,6.33,-13.06,False
150.87,103.21,7.73,15.38,-5.71,False
126.63,79.78,10.34,0.09,-9.25,False
54.23,7.86,9.31,5.78,9.77,False
155.06,95.66,9.47,11.9,-7.92,False
139.75,78.64,10.29,9.78,-9.24,False
151.64,87.69,19.41,5.65,-15.21,False
155.01,95.3,2.36,11.43,-4.97,False
129.14,89.78,1.5,1.1,-3.5,False
159.3,108.87,13.33,15.38,-11.01,False
97.54,34.34,5.58,0.09,-3.97,False
123.57,74.34,10.34,0.09,-9.24,False
157.55,107.87,13.3,15.38,-11.01,False
58.47,8.81,4.36,3.84,-1.96,False
63.11,10.69,6.01,0.09,-3.98,False
149.95,99.53,7.7,15.38,-5.71,False
139.02,69.18,8.16,16.63,-6.04,False
157.26,100.82,1.5,0.88,-4.18,False
122.96,78.67,8.85,4.14,6.96,False
155.9,97.51,0.87,0.09,-4.48,False
62.77,13.09,6.01,0.09,-4.04,False
155.97,97.76,8.78,11.4,7.07,False
120.51,50.14,13.78,7.41,-11.75,False
58.97,11.19,3.21,5.95,-2.05,False
